data_dzienna,Stacja,czy_wystapila_awaria
2025-03-01,DB04st10,0
2025-03-01,DB04st100,0
2025-03-01,DB04st101,0
2025-03-01,DB04st102,0
2025-03-01,DB04st110,0
2025-03-01,DB04st115,0
2025-03-01,DB04st20,0
2025-03-01,DB04st30,0
2025-03-01,DB04st40,0
2025-03-01,DB04st41,0
2025-03-01,DB04st42,0
2025-03-01,DB04st50,0
2025-03-01,DB04st60,0
2025-03-01,DB04st80,0
2025-03-01,DB04st90,0
2025-03-01,DB05st10,0
2025-03-01,DB05st100,0
2025-03-01,DB05st110,0
2025-03-01,DB05st20,0
2025-03-01,DB05st30,0
2025-03-01,DB05st40,0
2025-03-01,DB05st50,0
2025-03-01,DB05st60,0
2025-03-01,DB05st80,0
2025-03-01,DB05st90,0
2025-03-01,DD05st10,0
2025-03-01,DD05st100,1
2025-03-01,DD05st105,0
2025-03-01,DD05st20,1
2025-03-01,DD05st30,0
2025-03-01,DD05st35,1
2025-03-01,DD05st40,1
2025-03-01,DD05st50,0
2025-03-01,DD05st60,1
2025-03-01,DD05st61,1
2025-03-01,DD05st62,1
2025-03-01,DD05st63,0
2025-03-01,DD05st70,0
2025-03-01,DD05st80,1
2025-03-01,DD05st90,0
2025-03-01,DD06st10,0
2025-03-01,DD06st100,1
2025-03-01,DD06st105,0
2025-03-01,DD06st20,0
2025-03-01,DD06st30,0
2025-03-01,DD06st35,1
2025-03-01,DD06st36,0
2025-03-01,DD06st40,0
2025-03-01,DD06st50,0
2025-03-01,DD06st60,0
2025-03-01,DD06st61,1
2025-03-01,DD06st62,0
2025-03-01,DD06st63,0
2025-03-01,DD06st70,1
2025-03-01,DD06st80,0
2025-03-01,DD06st90,1
2025-03-01,DD07st10,0
2025-03-01,DD07st100,0
2025-03-01,DD07st105,0
2025-03-01,DD07st20,0
2025-03-01,DD07st30,1
2025-03-01,DD07st35,0
2025-03-01,DD07st36,0
2025-03-01,DD07st36-1,0
2025-03-01,DD07st40,1
2025-03-01,DD07st50,0
2025-03-01,DD07st60,1
2025-03-01,DD07st61,1
2025-03-01,DD07st62,1
2025-03-01,DD07st63,1
2025-03-01,DD07st70,1
2025-03-01,DD07st80,0
2025-03-01,DD07st90,1
2025-03-01,DD08st10,0
2025-03-01,DD08st100,0
2025-03-01,DD08st105,1
2025-03-01,DD08st110,0
2025-03-01,DD08st30,0
2025-03-01,DD08st34,0
2025-03-01,DD08st35,1
2025-03-01,DD08st40,1
2025-03-01,DD08st50,1
2025-03-01,DD08st60,1
2025-03-01,DD08st61,0
2025-03-01,DD08st62,0
2025-03-01,DD08st63,0
2025-03-01,DD08st70,0
2025-03-01,DD08st80,0
2025-03-01,DD08st81,0
2025-03-01,DD08st90,0
2025-03-01,DE02st10,0
2025-03-01,DE02st110,0
2025-03-01,DE02st120,0
2025-03-01,DE02st130,0
2025-03-01,DE02st135,0
2025-03-01,DE02st140,0
2025-03-01,DE02st145,0
2025-03-01,DE02st150,0
2025-03-01,DE02st20,0
2025-03-01,DE02st30,0
2025-03-01,DE02st50,0
2025-03-01,DE02st60,0
2025-03-01,DE02st70,0
2025-03-01,DO01st10,0
2025-03-01,DO01st100,0
2025-03-01,DO01st110,0
2025-03-01,DO01st130,0
2025-03-01,DO01st135,0
2025-03-01,DO01st140,0
2025-03-01,DO01st150,0
2025-03-01,DO01st155,0
2025-03-01,DO01st160,0
2025-03-01,DO01st190,0
2025-03-01,DO01st191,0
2025-03-01,DO01st20,0
2025-03-01,DO01st30,0
2025-03-01,DO01st40,0
2025-03-01,DO01st50,0
2025-03-01,DO01st60,0
2025-03-01,DO01st70,0
2025-03-01,DO01st80,0
2025-03-01,DO01st90,0
2025-03-01,PB01st05,0
2025-03-01,PB01st10,0
2025-03-01,PB01st30,0
2025-03-01,PB01st40,0
2025-03-01,PB01st41,0
2025-03-01,PB01st45,0
2025-03-01,PB01st50,0
2025-03-01,PB01st55,0
2025-03-01,PB02st10,0
2025-03-01,PB02st30,0
2025-03-01,PB02st40,0
2025-03-01,PB02st50,0
2025-03-01,PB02st55,0
2025-03-01,PB02st60,0
2025-03-01,PC_DD08,1
2025-03-01,PC_DO01,0
2025-03-02,DB04st10,0
2025-03-02,DB04st100,0
2025-03-02,DB04st101,0
2025-03-02,DB04st102,0
2025-03-02,DB04st110,0
2025-03-02,DB04st115,0
2025-03-02,DB04st20,0
2025-03-02,DB04st30,0
2025-03-02,DB04st40,0
2025-03-02,DB04st41,0
2025-03-02,DB04st42,0
2025-03-02,DB04st50,0
2025-03-02,DB04st60,0
2025-03-02,DB04st80,0
2025-03-02,DB04st90,0
2025-03-02,DB05st10,0
2025-03-02,DB05st100,1
2025-03-02,DB05st110,0
2025-03-02,DB05st20,0
2025-03-02,DB05st30,0
2025-03-02,DB05st40,0
2025-03-02,DB05st50,0
2025-03-02,DB05st60,0
2025-03-02,DB05st80,0
2025-03-02,DB05st90,0
2025-03-02,DD05st10,0
2025-03-02,DD05st100,0
2025-03-02,DD05st105,0
2025-03-02,DD05st20,0
2025-03-02,DD05st30,0
2025-03-02,DD05st35,1
2025-03-02,DD05st40,0
2025-03-02,DD05st50,1
2025-03-02,DD05st60,0
2025-03-02,DD05st61,1
2025-03-02,DD05st62,0
2025-03-02,DD05st63,0
2025-03-02,DD05st70,0
2025-03-02,DD05st80,0
2025-03-02,DD05st90,1
2025-03-02,DD06st10,0
2025-03-02,DD06st100,1
2025-03-02,DD06st105,0
2025-03-02,DD06st20,0
2025-03-02,DD06st30,0
2025-03-02,DD06st35,1
2025-03-02,DD06st36,0
2025-03-02,DD06st40,0
2025-03-02,DD06st50,0
2025-03-02,DD06st60,1
2025-03-02,DD06st61,1
2025-03-02,DD06st62,0
2025-03-02,DD06st63,0
2025-03-02,DD06st70,1
2025-03-02,DD06st80,0
2025-03-02,DD06st90,0
