data_dzienna,Stacja,Linia,czy_wystapila_awaria,awarie_7dni,awarie_30dni,dni_od_ostatniej_awarii,dni_bez_awarii_z_rzedu,czy_wczoraj_byla_awaria
2025-03-01,DB04st10,DB04,0,0.0,0.0,,1,0.0
2025-03-02,DB04st10,DB04,0,0.0,0.0,,2,0.0
2025-03-03,DB04st10,DB04,1,0.0,0.0,0.0,0,0.0
2025-03-04,DB04st10,DB04,0,1.0,1.0,1.0,1,1.0
2025-03-05,DB04st10,DB04,1,1.0,1.0,0.0,0,0.0
2025-03-06,DB04st10,DB04,0,2.0,2.0,1.0,1,1.0
2025-03-07,DB04st10,DB04,0,2.0,2.0,2.0,2,0.0
2025-03-08,DB04st10,DB04,0,2.0,2.0,3.0,3,0.0
2025-03-09,DB04st10,DB04,0,2.0,2.0,4.0,4,0.0
2025-03-10,DB04st10,DB04,0,2.0,2.0,5.0,5,0.0
2025-03-11,DB04st10,DB04,0,1.0,2.0,6.0,6,0.0
2025-03-12,DB04st10,DB04,0,1.0,2.0,7.0,7,0.0
2025-03-13,DB04st10,DB04,0,0.0,2.0,8.0,8,0.0
2025-03-14,DB04st10,DB04,0,0.0,2.0,9.0,9,0.0
2025-03-15,DB04st10,DB04,0,0.0,2.0,10.0,10,0.0
2025-03-16,DB04st10,DB04,0,0.0,2.0,11.0,11,0.0
2025-03-17,DB04st10,DB04,0,0.0,2.0,12.0,12,0.0
2025-03-18,DB04st10,DB04,0,0.0,2.0,13.0,13,0.0
2025-03-19,DB04st10,DB04,0,0.0,2.0,14.0,14,0.0
2025-03-20,DB04st10,DB04,0,0.0,2.0,15.0,15,0.0
2025-03-21,DB04st10,DB04,0,0.0,2.0,16.0,16,0.0
2025-03-22,DB04st10,DB04,0,0.0,2.0,17.0,17,0.0
2025-03-23,DB04st10,DB04,0,0.0,2.0,18.0,18,0.0
2025-03-24,DB04st10,DB04,0,0.0,2.0,19.0,19,0.0
2025-03-25,DB04st10,DB04,1,0.0,2.0,0.0,0,0.0
2025-03-25,DB04st10,DB04,1,1.0,3.0,0.0,0,1.0
2025-03-26,DB04st10,DB04,1,2.0,4.0,0.0,0,1.0
2025-03-26,DB04st10,DB04,1,3.0,5.0,0.0,0,1.0
2025-03-27,DB04st10,DB04,0,4.0,6.0,1.0,1,1.0
2025-03-28,DB04st10,DB04,0,4.0,6.0,2.0,2,0.0
2025-03-29,DB04st10,DB04,0,4.0,6.0,3.0,3,0.0
2025-03-30,DB04st10,DB04,0,4.0,6.0,4.0,4,0.0
2025-03-31,DB04st10,DB04,0,3.0,6.0,5.0,5,0.0
2025-04-01,DB04st10,DB04,0,2.0,5.0,6.0,6,0.0
2025-04-02,DB04st10,DB04,0,1.0,5.0,7.0,7,0.0
2025-04-03,DB04st10,DB04,1,0.0,4.0,0.0,0,0.0
2025-04-03,DB04st10,DB04,1,1.0,5.0,0.0,0,1.0
2025-04-04,DB04st10,DB04,0,2.0,6.0,1.0,1,1.0
2025-04-05,DB04st10,DB04,0,2.0,6.0,2.0,2,0.0
2025-04-06,DB04st10,DB04,0,2.0,6.0,3.0,3,0.0
2025-04-07,DB04st10,DB04,0,2.0,6.0,4.0,4,0.0
2025-04-08,DB04st10,DB04,0,2.0,6.0,5.0,5,0.0
2025-04-09,DB04st10,DB04,1,2.0,6.0,0.0,0,0.0
2025-04-10,DB04st10,DB04,0,2.0,7.0,1.0,1,1.0
2025-04-11,DB04st10,DB04,0,1.0,7.0,2.0,2,0.0
2025-04-12,DB04st10,DB04,0,1.0,7.0,3.0,3,0.0
2025-04-13,DB04st10,DB04,0,1.0,7.0,4.0,4,0.0
2025-04-14,DB04st10,DB04,0,1.0,7.0,5.0,5,0.0
2025-04-15,DB04st10,DB04,1,1.0,7.0,0.0,0,0.0
2025-04-16,DB04st10,DB04,1,2.0,8.0,0.0,0,1.0
2025-04-16,DB04st10,DB04,1,2.0,9.0,0.0,0,1.0
2025-04-17,DB04st10,DB04,0,3.0,10.0,1.0,1,1.0
2025-04-18,DB04st10,DB04,1,3.0,10.0,0.0,0,0.0
2025-04-19,DB04st10,DB04,0,4.0,11.0,1.0,1,1.0
2025-04-20,DB04st10,DB04,0,4.0,11.0,2.0,2,0.0
2025-04-21,DB04st10,DB04,0,4.0,10.0,3.0,3,0.0
2025-04-22,DB04st10,DB04,1,3.0,9.0,0.0,0,0.0
2025-04-23,DB04st10,DB04,1,3.0,9.0,0.0,0,1.0
2025-04-24,DB04st10,DB04,0,3.0,9.0,1.0,1,1.0
2025-04-25,DB04st10,DB04,0,3.0,9.0,2.0,2,0.0
2025-04-26,DB04st10,DB04,1,2.0,9.0,0.0,0,0.0
2025-04-26,DB04st10,DB04,1,3.0,10.0,0.0,0,1.0
2025-04-27,DB04st10,DB04,0,4.0,11.0,1.0,1,1.0
2025-04-28,DB04st10,DB04,1,4.0,11.0,0.0,0,0.0
2025-04-29,DB04st10,DB04,0,4.0,12.0,1.0,1,1.0
2025-04-30,DB04st10,DB04,0,3.0,12.0,2.0,2,0.0
2025-03-01,DB04st100,DB04,0,0.0,0.0,,1,0.0
2025-03-02,DB04st100,DB04,0,0.0,0.0,,2,0.0
2025-03-03,DB04st100,DB04,1,0.0,0.0,0.0,0,0.0
2025-03-03,DB04st100,DB04,1,1.0,1.0,0.0,0,1.0
2025-03-03,DB04st100,DB04,1,2.0,2.0,0.0,0,1.0
2025-03-04,DB04st100,DB04,1,3.0,3.0,0.0,0,1.0
2025-03-04,DB04st100,DB04,1,4.0,4.0,0.0,0,1.0
2025-03-05,DB04st100,DB04,1,5.0,5.0,0.0,0,1.0
2025-03-05,DB04st100,DB04,1,6.0,6.0,0.0,0,1.0
2025-03-05,DB04st100,DB04,1,7.0,7.0,0.0,0,1.0
2025-03-06,DB04st100,DB04,0,7.0,8.0,1.0,1,1.0
2025-03-07,DB04st100,DB04,0,6.0,8.0,2.0,2,0.0
2025-03-08,DB04st100,DB04,0,5.0,8.0,3.0,3,0.0
2025-03-09,DB04st100,DB04,0,4.0,8.0,4.0,4,0.0
2025-03-10,DB04st100,DB04,1,3.0,8.0,0.0,0,0.0
2025-03-10,DB04st100,DB04,1,3.0,9.0,0.0,0,1.0
2025-03-11,DB04st100,DB04,1,3.0,10.0,0.0,0,1.0
2025-03-11,DB04st100,DB04,1,3.0,11.0,0.0,0,1.0
2025-03-12,DB04st100,DB04,1,4.0,12.0,0.0,0,1.0
