data_dzienna,Linia,Stacja,zmiana,awarie_7dni,dni_od_ostatniej_awarii
2025-05-01,DB04,DB04st10,1,1,5.0
2025-05-01,DB04,DB04st10,2,2,3.0
2025-05-01,DB04,DB04st10,3,0,999.0
2025-05-01,DB04,DB04st100,1,2,2.0
2025-05-01,DB04,DB04st100,2,4,2.0
2025-05-01,DB04,DB04st100,3,1,1.0
2025-05-01,DB04,DB04st101,1,3,2.0
2025-05-01,DB04,DB04st101,2,2,1.0
2025-05-01,DB04,DB04st101,3,1,2.0
2025-05-01,DB04,DB04st102,1,2,1.0
2025-05-01,DB04,DB04st102,2,2,4.0
2025-05-01,DB04,DB04st102,3,1,5.0
2025-05-01,DB04,DB04st110,1,1,3.0
2025-05-01,DB04,DB04st110,2,3,4.0
2025-05-01,DB04,DB04st110,3,4,2.0
2025-05-01,DB04,DB04st115,2,0,999.0
2025-05-01,DB04,DB04st20,2,1,1.0
2025-05-01,DB04,DB04st20,3,1,6.0
2025-05-01,DB04,DB04st30,1,1,5.0
2025-05-01,DB04,DB04st30,2,1,5.0
2025-05-01,DB04,DB04st30,3,0,999.0
2025-05-01,DB04,DB04st40,1,3,1.0
2025-05-01,DB04,DB04st40,2,4,2.0
2025-05-01,DB04,DB04st40,3,4,1.0
2025-05-01,DB04,DB04st41,2,0,999.0
2025-05-01,DB04,DB04st41,3,0,999.0
2025-05-01,DB04,DB04st42,1,0,999.0
2025-05-01,DB04,DB04st42,2,1,4.0
2025-05-01,DB04,DB04st42,3,0,999.0
2025-05-01,DB04,DB04st50,1,1,6.0
2025-05-01,DB04,DB04st50,2,1,5.0
2025-05-01,DB04,DB04st50,3,0,999.0
2025-05-01,DB04,DB04st60,1,1,2.0
2025-05-01,DB04,DB04st60,2,2,2.0
2025-05-01,DB04,DB04st60,3,1,6.0
2025-05-01,DB04,DB04st80,1,0,999.0
2025-05-01,DB04,DB04st80,2,0,999.0
2025-05-01,DB04,DB04st80,3,0,999.0
2025-05-01,DB04,DB04st90,1,0,999.0
2025-05-01,DB04,DB04st90,2,3,2.0
2025-05-01,DB04,DB04st90,3,2,2.0
2025-05-01,DB05,DB05st10,1,1,6.0
2025-05-01,DB05,DB05st10,2,0,999.0
2025-05-01,DB05,DB05st10,3,2,6.0
2025-05-01,DB05,DB05st100,1,1,1.0
2025-05-01,DB05,DB05st100,2,4,2.0
2025-05-01,DB05,DB05st100,3,3,1.0
2025-05-01,DB05,DB05st110,1,0,999.0
2025-05-01,DB05,DB05st110,2,1,1.0
2025-05-01,DB05,DB05st110,3,1,1.0
2025-05-01,DB05,DB05st20,1,0,999.0
2025-05-01,DB05,DB05st20,2,1,2.0
2025-05-01,DB05,DB05st20,3,2,1.0
2025-05-01,DB05,DB05st30,1,0,999.0
2025-05-01,DB05,DB05st30,2,3,1.0
2025-05-01,DB05,DB05st30,3,3,2.0
2025-05-01,DB05,DB05st40,1,3,2.0
2025-05-01,DB05,DB05st40,2,2,3.0
2025-05-01,DB05,DB05st40,3,4,2.0
2025-05-01,DB05,DB05st50,1,2,2.0
2025-05-01,DB05,DB05st50,2,1,3.0
2025-05-01,DB05,DB05st50,3,0,999.0
2025-05-01,DB05,DB05st60,1,0,999.0
2025-05-01,DB05,DB05st60,2,0,999.0
2025-05-01,DB05,DB05st60,3,0,999.0
2025-05-01,DB05,DB05st80,2,0,999.0
2025-05-01,DB05,DB05st80,3,0,999.0
2025-05-01,DB05,DB05st90,1,0,999.0
2025-05-01,DB05,DB05st90,2,1,2.0
2025-05-01,DB05,DB05st90,3,0,999.0
2025-05-01,DD05,DD05st10,1,1,6.0
2025-05-01,DD05,DD05st10,2,1,2.0
2025-05-01,DD05,DD05st10,3,2,4.0
2025-05-01,DD05,DD05st100,1,2,1.0
2025-05-01,DD05,DD05st100,2,2,5.0
2025-05-01,DD05,DD05st100,3,1,3.0
2025-05-01,DD05,DD05st105,1,0,999.0
