data_dzienna,Linia,Stacja,Predykcja awarii
2025-05-04,DB04,DB04st10,🔴 Będzie
2025-05-04,DD07,DD07st62,🔴 Będzie
2025-05-04,DE02,DE02st10,🔴 Będzie
2025-05-04,DD08,PC_DD08,🔴 Będzie
2025-05-04,DD08,DD08st90,🔴 Będzie
2025-05-04,DD08,DD08st81,🔴 Będzie
2025-05-04,DD08,DD08st80,🔴 Będzie
2025-05-04,DD08,DD08st70,🔴 Będzie
2025-05-04,DD08,DD08st63,🔴 Będzie
2025-05-04,DD08,DD08st62,🔴 Będzie
2025-05-04,DE02,DE02st110,🔴 Będzie
2025-05-04,DE02,DE02st120,🔴 Będzie
2025-05-04,DE02,DE02st145,🔴 Będzie
2025-05-04,DE02,DE02st30,🔴 Będzie
2025-05-04,DE02,DE02st20,🔴 Będzie
2025-05-04,DE02,DE02st150,🔴 Będzie
2025-05-04,DE02,DE02st140,🔴 Będzie
2025-05-04,DE02,DE02st135,🔴 Będzie
2025-05-04,DE02,DE02st130,🔴 Będzie
2025-05-04,DD08,DD08st61,🔴 Będzie
2025-05-04,DD07,DD07st90,🔴 Będzie
2025-05-04,DD08,DD08st105,🔴 Będzie
2025-05-04,DD08,DD08st100,🔴 Będzie
2025-05-04,DD08,DD08st10,🔴 Będzie
2025-05-04,DD07,DD07st80,🔴 Będzie
2025-05-04,DD07,DD07st70,🔴 Będzie
2025-05-04,DD07,DD07st63,🔴 Będzie
2025-05-04,DD08,DD08st110,🔴 Będzie
2025-05-04,DD08,DD08st40,🔴 Będzie
2025-05-04,DD08,DD08st60,🔴 Będzie
2025-05-04,DD08,DD08st50,🔴 Będzie
2025-05-04,DD08,DD08st35,🔴 Będzie
2025-05-04,DD08,DD08st34,🔴 Będzie
2025-05-04,DD08,DD08st30,🔴 Będzie
2025-05-04,DE02,DE02st50,🔴 Będzie
2025-05-04,PB01,PB01st10,🔴 Będzie
2025-05-04,PB01,PB01st41,🔴 Będzie
2025-05-04,PB01,PB01st40,🔴 Będzie
2025-05-04,PB01,PB01st30,🔴 Będzie
2025-05-04,PB01,PB01st05,🔴 Będzie
2025-05-04,PB01,PB01st45,🔴 Będzie
2025-05-04,DO01,PC_DO01,🔴 Będzie
2025-05-04,DO01,DO01st90,🔴 Będzie
2025-05-04,DO01,DO01st80,🔴 Będzie
2025-05-04,DO01,DO01st70,🔴 Będzie
2025-05-04,PB01,PB01st50,🔴 Będzie
2025-05-04,DO01,DO01st60,🔴 Będzie
2025-05-04,PB02,PB02st40,🔴 Będzie
